polyclinic,date,time,patientCount
Ang Mo Kio,2017-12-15,15:45,116
Ang Mo Kio,2017-12-15,15:50,109
Ang Mo Kio,2017-12-15,15:55,109
Ang Mo Kio,2017-12-16,08:00,0
Ang Mo Kio,2017-12-16,08:05,41
Ang Mo Kio,2017-12-16,08:10,41
Ang Mo Kio,2017-12-16,08:15,41
Ang Mo Kio,2017-12-16,08:20,77
Ang Mo Kio,2017-12-16,08:25,77
Ang Mo Kio,2017-12-16,08:30,77
Ang Mo Kio,2017-12-16,08:35,74
Ang Mo Kio,2017-12-16,08:40,74
Ang Mo Kio,2017-12-16,08:45,74
Ang Mo Kio,2017-12-16,08:50,72
Ang Mo Kio,2017-12-16,08:55,72
Ang Mo Kio,2017-12-16,09:00,72
Ang Mo Kio,2017-12-16,09:05,83
Ang Mo Kio,2017-12-16,09:10,83
Ang Mo Kio,2017-12-16,09:15,83
Ang Mo Kio,2017-12-16,09:20,91
Ang Mo Kio,2017-12-16,09:25,91
Ang Mo Kio,2017-12-16,09:30,91
Ang Mo Kio,2017-12-16,09:35,97
Ang Mo Kio,2017-12-16,09:40,97
Ang Mo Kio,2017-12-16,09:45,97
Ang Mo Kio,2017-12-16,09:50,104
Ang Mo Kio,2017-12-16,09:55,104
Ang Mo Kio,2017-12-16,10:00,104
Ang Mo Kio,2017-12-16,10:05,103
Ang Mo Kio,2017-12-16,10:10,103
Ang Mo Kio,2017-12-16,10:15,103
Ang Mo Kio,2017-12-16,10:20,105
Ang Mo Kio,2017-12-16,10:25,105
Ang Mo Kio,2017-12-16,10:30,105
Ang Mo Kio,2017-12-16,10:35,102
Ang Mo Kio,2017-12-16,10:40,102
Ang Mo Kio,2017-12-16,10:45,102
Ang Mo Kio,2017-12-16,10:50,95
Ang Mo Kio,2017-12-16,10:55,95
Ang Mo Kio,2017-12-16,11:00,95
Ang Mo Kio,2017-12-16,11:05,102
Ang Mo Kio,2017-12-16,11:10,102
Ang Mo Kio,2017-12-16,11:15,102
Ang Mo Kio,2017-12-16,11:20,99
Ang Mo Kio,2017-12-16,11:25,99
Ang Mo Kio,2017-12-16,11:30,99
Ang Mo Kio,2017-12-16,11:35,90
Ang Mo Kio,2017-12-16,11:40,90
Ang Mo Kio,2017-12-16,11:45,90
Ang Mo Kio,2017-12-16,11:50,77
Ang Mo Kio,2017-12-16,11:55,77
Ang Mo Kio,2017-12-18,08:00,0
Ang Mo Kio,2017-12-18,08:05,8
Ang Mo Kio,2017-12-18,08:10,8
Ang Mo Kio,2017-12-18,08:15,8
Ang Mo Kio,2017-12-18,08:20,52
Ang Mo Kio,2017-12-18,08:25,52
Ang Mo Kio,2017-12-18,08:30,52
Ang Mo Kio,2017-12-18,08:35,69
Ang Mo Kio,2017-12-18,08:40,69
Ang Mo Kio,2017-12-18,08:45,69
Ang Mo Kio,2017-12-18,08:50,63
Ang Mo Kio,2017-12-18,08:55,63
Ang Mo Kio,2017-12-18,09:00,63
Ang Mo Kio,2017-12-18,09:05,76
Ang Mo Kio,2017-12-18,09:10,76
Ang Mo Kio,2017-12-18,09:15,76
Ang Mo Kio,2017-12-18,09:20,95
Ang Mo Kio,2017-12-18,09:25,95
